Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal,Deformations,Abnormal,External
Black Women,350,560,175,190,14,579,550,660,185,18,36,156,990,518,3735
Black Men,430,668,208,221,15,631,652,978,265,14,53,235,1065,670,5284
Asian Women,84,149,35,53,5,97,98,112,25,11,6,10,186,59,371
Asian Men,85,185,38,56,3,110,76,128,54,8,7,26,187,78,497
White Women,1049,2783,344,960,47,1524,1220,1523,526,43,140,261,3113,1314,9856
White Men,1229,3290,441,1129,40,1874,1372,1760,678,57,126,371,3360,1751,14981
Native Women,74,9,7,41,1,36,72,97,42,2,5,956,622,556,270
Native Men,41,54,12,28,0,50,39,54,26,1,2,7,67,60,515
Hispanic Women,335,816,133,268,11,431,342,469,172,15,39,103,993,352,2830
Hispanic Men,373,873,145,288,10,495,394,549,233,20,41,103,1130,417,4250
