Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal,Deformations,Abnormal,External
Black Women,17623,123725,3772,27016,2683,8518,117883,21719,14057,3654,13201,9,603,3050,11585
Black Men, 29246,152040,2952,29361,7525,8468,184344,26671,23836,2088,15028,1,651,5236,31423
Asian Women,1393,22485,206,2166,189,921,10864,1795,1363,424,974,1,101,238,2398
Asian Men,2270,24063,226,3522,393,1024,21674,2774,2639,214,1132,1,97,353,4471
White Women,48157,699556,6764,83643,16282,52118,366893,154030,87142,13946,30235,47,5977,13645,92656
White Men,77872,857181,7109,126179,37636,57586,804792,178352,161918,9026,36063,25,6441,22502,216775
Native Women,808,5129,87,1788,231,359,4076,1651,2157,283,617,0,39,159,1182
Native Men,966,6215,70,2239,698,399,7366,1795,2765,130,543,0,36,231,2767
Hispanic Women,5786,47079,640,10757,901,3000,30389,7005,9252,1718,3801,6,338,759,5687
Hispanic Men,11117,57137,671,14552,3241,3618,62551,9690,21308,889,4582,4,430,1535,16877
