Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal,Deformations,Abnormal,External
Black Women,17679,71484,2830,34287,55009,46955,288948,44941,15004,2915,28214,0,213,12093,7806
Black Men, 8313,55433,1115,12839,17913,15378,115148,28916,6209,1006,13545,1,113,4106,5225
Asian Women, 2346,15931,484,6148,10240,10595,59149,13646,3366,723,4163,0,43,1825,2866
Asian Men, 1910,15508,314,3968,5014,5690,39544,14151,2340,269,3017,0,39,952,2671
White Women, 143953,829483,29434,251514,708739,723982,3529709,788350,220496,52144,226477,7,3325,158725,178906
White Men, 78932,687367,14765,133632,257131,309778,1818152,534647,103054,15958,146329,5,1873,59589,128473
Native Women, 469,2246,97,1318,1714,1635,8244,2465,824,164,815,0,7,390,536
Native Men, 264,1918,45,696,722,691,4475,1823,365,62,471,0,3,160,384
Hispanic Women, 6234,32401,1016,15689,23864,29918,134457,29701,9175,1464,9013,1,112,4196,5244
Hispanic Men, 3623,29110,583,8479,10393,13584,74660,21745,4735,544,6153,0,79,1942,4436
