Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal,Deformations,Abnormal,External
Black Women,1570,184,157,392,8,651,1328,1682,984,23,403,36116,8954,8064,4028
Black Men,1918,166,248,488,9,749,1635,2254,1449,34,492,45901,9701,10740,4994
Asian Women,161,52,63,75,0,135,201,145,106,3,32,3559,1688,499,231
Asian Men,179,58,73,136,2,156,221,214,166,9,50,4569,1856,720,319
White Women,2608,864,467,1196,18,1987,2897,2595,1744,59,712,62828,34165,14876,7230
White Men,3296,933,646,1614,20,2716,3538,3830,2543,97,952,81345,38208,21864,10065
Native Women,74,9,7,41,1,36,72,97,42,2,5,956,622,556,270
Native Men,95,17,11,32,55,3,71,146,60,1,14,1379,718,777,374
Hispanic Women,934,266,160,360,5,479,927,830,611,13,227,19709,11276,3528,1876
Hispanic Men,183,253,196,429,6,720,1007,1202,844,28,301,25263,11984,4996,2385
