Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal/Pregnancy,Deformations,Abnormal,External
< 1 year,9901,2283,1672,3974,58,6485,9963,10963,7094,228,2660,236653,95912,58096,27511
1-4 years,3304,7719,1261,2662,127,4909,4037,5267,1778,152,373,1071,9053,4504,35575
5-14 years,3025,18508,1426,3658,437,8554,5911,5715,1861,591,491,562,6561,2316,50890
15-24 years,7653,30910,3040,9704,4271,16098,24025,9803,4665,2606,1911,3067,7876,11950,430639
25-34 years,32279,69384,5377,23217,12715,18364,75452,18110,19545,5080,5867,5960,7737,20571,469849
35-44 years,91376,247938,9849,56990,31454,33019,272124,43899,82063,9587,16597,3983,8764,32255,492525
45-54 years,159331,880161,16283,146199,59682,73565,814362,144480,229470,18883,45520,1736,12475,45184,530207
55-64 years,178335,1890394,21186,275914,65637,129393,1517892,388787,295877,29765,97793,84,13945,45414,363257
65-74 years,190843,2705138,27467,383780,107725,254611,2368731,850948,293614,42990,182615,47,7843,52744,247093
75-84 years,268912,2972872,40616,502780,423403,720084,4296008,1448117,361049,65772,343562,26,7165,101968,307481
85+ years,253866,1679370,49084,444402,1056482,1114704,5863369,1428939,351658,73241,423031,13,5616,237840,326867
