Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal/Pregnancy,Deformations,Abnormal,External
<1,179,58,73,136,2,156,221,214,166,9,50,4569,1856,720,319
1-4,85,185,38,56,3,110,76,128,54,8,7,26,187,78,497
5-14,75,465,41,63,5,194,151,101,40,5,8,13,117,42,851
15-24,129,854,37,105,49,290,530,152,68,29,21,2,152,169,7593
25-34,411,1655,68,240,129,263,1630,253,304,47,77,118,315,45,7434
35-44,902,4560,86,609,302,302,5255,472,996,93,196,2,126,374,6009
45-54,1655,12674,129,1697,418,543,12830,1150,2021,149,497,0,124,408,5649
55-64,2270,24063,226,3522,393,1024,21674,2774,2639,214,1132,1,97,353,4471
65-74,2461,31029,291,4786,663,2025,29897,6488,2771,294,2053,2,63,385,3350
75-84,2806,31372,384,5418,2283,4621,41635,13188,3124,338,3129,0,65,552,3488
85+,1910,15508,314,3968,5014,5690,39544,14151,2340,269,3017,0,39,952,2671
