Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal,Deformations,Abnormal,External
< 1 year,1918,166,248,488,9,749,1635,2254,1449,34,492,45901,9701,10740,4994
1-4 years,430,668,208,221,15,631,652,978,265,14,53,235,1065,670,5284
5-14 years,378,1634,258,303,44,1114,835,1232,235,54,54,61,753,343,7561
15-24 years,1725,2955,910,1084,311,2092,4539,1705,586,289,262,28,1000,1596,78169
25-34 years,9458,5247,1696,3511,1054,2246,13701,2798,1677,535,1078,9,728,2565,74261
35-44 years,24659,17377,2605,8130,3172,3538,44591,5477,6111,1003,3241,10,692,3712,54538
45-54 years,35085,73806,3423,18081,6940,6405,118770,13765,18973,1642,8509,7,777,5590,49331
55-64 years,29246,152040,2952,29361,7525,8468,184344,26671,23836,2088,15028,1,651,5236,31423
65-74 years,19026,169411,2178,31760,8573,11274,195870,39782,16333,1982,18860,5,324,4321,15497
75-84 years,15317,135138,1759,27140,16518,18717,189661,45584,11859,1857,20196,3,238,4424,10446
85+ years,8313,55433,1115,12839,17913,15378,115148,28916,6209,1006,13545,1,113,4106,5225
