Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal/Pregnancy,Deformations,Abnormal,External
< 1 year,5488,1174,978,2270,31,3676,5465,6444,4218,141,1508,133194,50483,34101,15752
1-4 years,1785,4197,699,1434,58,2665,2139,2920,1023,80,188,639,4679,2559,21277
5-14 years,1617,10092,784,2019,187,4873,3202,3209,977,227,241,286,3464,1281,
15-24 years,4250,18544,1694,5260,2887,10595,15384,5800,2638,834,906,171,4727,8109,337845
25-34 years,20080,34057,2876,13285,8679,10881,48777,9999,11994,1477,2916,64,4426,13734,364694
35-44 years,61191,108183,4963,33827,22168,18421,181685,22882,51879,3157,8828,51,4789,20299,357052
45-54 years,107567,442806,8100,87820,43148,39652,560659,75850,152893,6938,25358,48,6689,28653,373136
55-64 years,110354,1039499,10357,161301,46252,67477,1018176,209592,191158,11458,52766,27,7225,28322,255436
65-74 years,100505,1493527,12919,207568,58868,131694,1427293,451163,161091,15958,92669,25,3834,29256,163957
75-84 years,123911,1564576,17646,234275,171735,324754,2132847,725061,161291,21584,164001,13,3148,44558,175771
85+ years,89419,760226,16239,151135,280780,331537,1977319,579537,111968,17295,163362,6,2028,64807,136753
