Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal/Pregnancy,Deformations,Abnormal,External
< 1 year,3296,933,646,1614,20,2716,3538,3830,2543,97,952,81345,38208,21864,10065
1-4 years,1229,3290,441,1129,40,1874,1372,1760,678,57,126,371,3360,1751,14981
5-14 years,1132,7900,476,1637,135,3506,2182,1836,680,165,172,208,2543,879,23142
15-24 years,2354,14545,733,3988,2449,8100,10139,3867,1891,506,605,139,3509,6225,245487
25-34 years,9985,26843,1092,9276,7202,8236,32805,6796,9353,878,1716,54,3525,10653,276405
35-44 years,34976,85453,2235,24430,18014,14366,129888,16540,42850,2014,5251,39,3932,15950,290674
45-54 years,69689,353371,4480,66653,34887,32366,424162,60029,128740,5056,16024,41,5733,22354,313128
55-64 years,77872,857181,7109,126179,37636,57586,804792,178352,161918,9026,36063,25,6441,22502,216775
65-74 years,78290,1285718,10379,168849,49101,117827,1193137,402191,140488,13537,71052,18,3422,24373,143779
75-84 years,105236,1392709,15442,200122,152240,300447,1893849,663282,145436,19274,140014,10,2837,39412,160984
85+ years,78932,687367,14765,133632,257131,309778,1818152,534647,103054,15958,146329,5,1873,59589,128473
