Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal/Pregnancy,Deformations,Abnormal,External
<1,161,52,63,75,0,135,201,145,106,3,32,3559,1688,499,231
1-4,84,149,35,53,5,97,98,112,25,11,6,10,186,59,371
5-14,67,359,33,53,15,132,126,90,42,20,4,21,128,50,553
15-24,95,534,37,62,17,158,247,108,46,122,21,53,118,104,2513
25-34,187,1715,51,163,53,176,678,167,143,193,68,293,80,138,2806
35-44,353,5799,101,317,82,227,2014,335,329,211,166,231,90,141,2566
45-54,815,14389,146,895,128,451,5065,763,831,314,395,33,109,200,2798
55-64,1393,22485,206,2166,189,921,10864,1795,1363,424,974,1,101,238,2398
65-74,2190,26713,300,4035,573,1911,21251,4193,2392,551,1983,0,95,330,2438
75-84,2860,28016,378,6573,3191,5285,42251,9549,3648,720,3585,1,77,718,3074
85+,2346,15931,484,6148,10240,10595,59149,13646,3366,723,4163,0,43,1825,2866
