Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal/Pregnancy,Deformations,Abnormal,External
< 1 year,1570,184,157,392,8,651,1328,1682,984,23,403,36116,8954,8064,4028
1-4 years,350,560,175,190,14,579,550,660,185,18,36,156,990,518,3735
5-14 years,353,1427,221,265,39,938,725,789,205,106,69,64,660,285,4080
15-24 years,1524,2200,719,955,151,1398,2711,1177,559,827,350,1098,605,901,14478
25-34 years,6954,6911,1560,2971,529,1878,9219,2254,1431,1647,1110,2009,562,1520,15533
35-44 years,15419,27170,2826,6644,1675,3306,29355,5160,4781,2563,3042,1260,585,2596,18010
45-54 years,19038,76753,4010,15704,2817,6294,75108,12801,11476,3743,7040,462,679,3435,18670
55-64 years,17623,123725,3772,27016,2683,8518,117883,21719,14057,3654,13201,9,603,3050,11585
65-74 years,16835,139935,3119,35544,6179,12309,162443,31296,13336,3120,20571,1,366,3518,7910
75-84 years,19383,127730,2906,41608,23556,28047,240644,42497,15446,3221,27308,1,271,5798,8209
85+ years,17679,71484,2830,34287,55009,46955,288948,44941,15004,2915,28214,0,213,12093,7806
