Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal/Pregnancy,Deformations,Abnormal,External
< 1 year,4413,1109,694,1704,27,2809,4498,4519,2876,87,1152,103459,45429,23995,11759
1-4 years,1519,3522,562,1228,69,2244,1898,2347,755,72,185,432,4374,1945,14298
5-14 years,1408,8416,642,1639,250,3681,2709,2506,884,364,250,278,3097,1035,18637
15-24 years,3403,12366,1346,4444,1384,5503,8641,4003,2027,1772,1005,2896,3149,3841,92794
25-34 years,12199,35327,2501,9932,4036,7483,26675,8111,7551,3603,2951,5896,3311,6837,105155
35-44 years,30185,139755,4886,23163,9286,14598,90439,21017,30184,6430,7769,3922,3975,11956,135473
45-54 years,51764,437355,8183,58379,16534,33913,253703,68630,76577,11945,20162,1688,5786,16531,157071
55-64 years,67981,850895,10829,114613,19385,61916,499716,179195,104719,18307,45027,47,6720,17092,107821
65-74 years,90338,1211611,14548,176212,48857,122917,941438,399785,132523,27032,89946,22,4009,23488,83136
75-84 years,145001,1408296,22970,268505,251668,395330,2163161,723056,199758,44188,179561,13,4017,57410,131710
85+ years,164447,919144,32845,293267,775702,783167,3886050,849402,239690,55946,259669,7,3588,173033,190114
