Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal/Pregnancy,Deformations,Abnormal,External
<1 years,2608,864,467,1196,18,1987,2897,2595,1744,59,712,62828,34165,14876,7230
1-4 years,1049,2783,344,960,47,1524,1220,1523,526,43,140,261,3113,1314,9856
5-14 years,958,6564,378,1296,189,2567,1820,1582,624,233,173,195,2258,678,13519
15-24 years,1744,9515,571,3380,1175,3871,5568,2652,1369,799,617,1700,2388,2773,73437
25-34 years,4921,26408,869,6659,3291,5337,16456,5568,5475,1708,1713,3512,2637,5055,84373
35-44 years,14021,105786,1925,15814,7184,10922,58032,15191,23504,3557,4440,2379,3264,9069,112382
45-54 years,31175,343233,3952,40768,13192,26889,171176,54256,61735,7678,12383,1168,4956,12710,133443
55-64 years,48157,699556,6764,83643,16282,52118,366893,154030,87142,13946,30235,47,5977,13645,92656
65-74 years,70513,1038797,11025,134239,41831,108103,751889,361662,115179,23067,66469,21,3531,19509,72075
75-84 years,122012,1247512,19593,218140,224063,360739,1872243,668045,179450,39968,147695,9,3655,50725,119776
85+ years,143953,829483,29434,251514,708739,723982,3529709,788350,220496,52144,226477,7,3325,158725,178906
