Sample,Infection,Cancer,Blood,Endocine,Mental,Nervous,Circulatory,Respirtory,Digestive,Skeletal,GU tract,Perinatal,Congenital,External,Other
<1,68,7,1,12,43,34,46,29,5,2,2,29,5,2,2
1-4,78,7,1,12,43,34,46,29,5,2,2,29,5,2,2
5-14,58,7,1,12,43,34,46,29,5,2,2,29,5,2,2
15-24,48,7,1,12,43,34,46,29,5,2,2,29,5,2,2
25-34,38,7,1,12,43,34,46,29,5,2,2,29,5,2,2
35-44,28,7,1,12,43,34,46,29,5,2,2,29,5,2,2
45-54,18,7,1,12,43,34,46,29,5,2,2,29,5,2,2
55-64,88,7,1,12,43,34,46,29,5,2,2,29,5,2,2
65-74,98,7,1,12,43,34,46,29,5,2,2,29,5,2,2
65-74,108,7,1,12,43,34,46,29,5,2,2,29,5,2,2
75-84,68,7,1,12,43,34,46,29,5,2,2,29,5,2,2
85+,68,7,1,12,43,34,46,29,5,2,2,29,5,2,2
